,category,title,price,rating,No of reviews
2119,"['Automotive', 'Performance Parts & Accessories', ' Batteries & Accessories']",odyssey 65-pc1750t automotive ltv battery,295.67,4.4,172
2120,"['Automotive', 'Motorcycle & ATV', 'Parts', 'Wheels & Tires', 'Tires & Accessories', 'Tires & Inner Tubes', 'Race']",sunf a035 atv utv sport tire 18x10-8 6pr,121.97999999999999,4.1,15
2121,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Fashion Scarves']",women fall winter scarf classic tassel plaid warm soft chunky large blanket wrap shawl scarves,9.99,4.5,2542
2122,"['Grocery & Gourmet Food', 'Snack Foods', 'Granola']",quaker chewy dipps granola bars variety pack 58,12.325,4.8,917
2123,"['Patio, Lawn & Garden', ' Outdoor Storage']",165 gallon weather resistant resin deck storage container box outdoor patio garden furniture brown,228.85,3.8,142
2124,"['Grocery & Gourmet Food', 'Pantry Staples', 'Food Coloring']",wilton candy decorating primary colors set 1 oz .,4.69,4.4,601
2125,"['Industrial & Scientific', 'Lab & Scientific Products', 'Glassware & Labware', 'Distillation Apparatus']",stampede stills copper half gallon widemouth mason jar thumper kit,84.95,5.0,9
2126,"['Pet Supplies', 'Dogs', ' Beds & Furniture']",furhaven pet round orthopedic snuggery blanket burrowing cave convertible hood dog bed dogs cats multiple styles sizes colors,19.99,4.1,6334
2127,"['Tools & Home Improvement', 'Hardware', ' Furniture Hardware']",m2cbridge l shape extra thick furniture table edge protectors foam baby safety bumper guard 6.5 ft black,9.9,4.2,773
2128,"['Sports & Outdoors', 'Sports & Fitness', 'Hunting & Fishing', 'Fishing', 'Rod & Reel Combos']",sougayilang spinning fishing rod reel combos portable telescopic pole reels travel saltwater freshwater,62.980000000000004,4.1,591
2129,"['Sports & Outdoors', 'Sports & Fitness', 'Hunting & Fishing', 'Hunting', 'Scents']",pure whitetail bachelor group buck urine 4 oz fresh 100 % mock scrape attractant calming cover scent multiple bucks,12.99,4.6,206
2130,"['Arts, Crafts & Sewing', 'Craft Supplies', ' Sculpture Supplies']",epoxy-resin-crystal-clear-kit art jewelry crafts，coating- 16 oz | bonus 4 pcs graduated cups 3pcs sticks 1 pair rubber gloves puduo,21.99,4.5,3021
2131,"['Automotive', 'Interior Accessories', 'Sun Protection', 'Side Window Sunshades']",goldflower universal car side window sun shade 2 pack protects kids burn heats uv rays double layer design fits vehicle,11.99,4.2,323
2132,"['Industrial & Scientific', 'Cutting Tools', 'Industrial Drill Bits', 'Taper Shank Drill Bits']",morse cutting tools 10064 taper shank drill high speed steel 3 mts 118 degree point 1 black oxide finish,7.015000000000001,4.6,2
2133,"['Tools & Home Improvement', 'Kitchen & Bath Fixtures', 'Kitchen Fixtures', 'Kitchen Sink Faucet Replacement Parts']",umirio pull kitchen faucet sprayer head replacement parts brushed nickelpull nozzle sink hose tap spout2 functions3 adapter,17.715,4.1,12
2134,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Underwear', 'Tops']",polo ralph lauren men long-sleeved t-shirt sleepwear thermal waffle shirts x-large white,15.565,5.0,2
2135,"['Office Products', 'Office Supplies', 'Paper', 'Steno Pads']",gloryfire waterproof notebook tactical all-weather spiral memo paper notepad grid outdoor activities recording 3x5 5pcs,12.99,4.6,312
2136,"['Tools & Home Improvement', ' Power & Hand Tools']",dewalt dws779 12 sliding compound miter saw dw3128 series 20 12-inch 80 tooth atb thin kerf crosscutting blade 1-inch arbor,401.255,4.7,3099
2137,"['Grocery & Gourmet Food', 'Produce', 'Fresh Vegetables', ' Peppers']",giusto sapore hot stuffed cherry peppers ready eat gourmet premium pepper brand,12.45,4.7,1348
2138,"['Pet Supplies', 'Fish & Aquatic Pets', 'Plastic Plants']",alegi large freshwater aquarium plants artificial plastic 16 inch fish tank decoration ornaments green,9.99,4.7,42
2139,"['Automotive', 'Replacement Parts', 'Ambient Air Temperature']",stant 74172 coolant temperature sensor 1 pack,12.66,5.0,1
2140,"['Automotive', 'Replacement Parts', 'Engine Cooling & Climate Control', 'Air Conditioning', 'Tanks']",meyle expansion tank,43.02,5.0,1
2141,"['Grocery & Gourmet Food', 'Breads & Bakery', 'Sugar']",danisa butter cookies 16 oz festive tin,11.8,4.1,147
2142,"['Baby', 'Car Seats', 'Infant']",doona infant car seat latch base – stroller blush pink us version,499.0,4.7,208
2143,"['Clothing, Shoes & Jewelry', 'Shoe, Jewelry & Watch Accessories', 'Cabinets & Cases']",bestwishes watch box 12 slots organizer jewelry display case drawer storage lockable black twill,28.49,4.6,41
2144,"['Arts, Crafts & Sewing', 'Scrapbooking', 'Stamps & Ink Pads', 'Wood Stamps']",7 pieces vintage wooden rubber stamps plant flower decorative mounted stamp set diy craft letters diary scrapbooking,13.989999999999998,4.5,179
2145,"['Toys & Games', 'Stuffed Animal Clothing & Accessories']",spidey teddy outfit bear clothes fits 14 18 build-a-bear make stuffed animals,15.48,4.7,84
2146,"['Sports & Outdoors', 'Outdoor Recreation', 'Water Sports', 'Diving & Snorkeling', 'Diving Boots']",neosport wetsuits paddle low top boots,13.99,4.4,214
2147,"['Office Products', 'Office Supplies', 'Writing & Correction Supplies', 'Pens & Refills', ' Rollerball Pens']",luxury pen scriveiner london stunning rollerball 24k gold finish schmidt ink refill best roller ball gift men women professional executive office nice pens black lacquer,3.97,4.8,335
2148,"['Grocery & Gourmet Food', 'Candy & Chocolate', 'Nuts']",atkins endulge choco covered almonds . rich taste low net carb calorie snack 1 ounce per pack 10 packs,21.18,4.2,18
2149,"['Clothing, Shoes & Jewelry', 'Boys', 'Shoes', 'Running']",adidas kids fortarun x running shoe,73.3,4.7,248
2150,"['Automotive', 'Light & Lighting Accessories', 'Lighting Assemblies & Accessories', ' Brake & Tail Light Assemblies, Parts & Accessories']",partsam 14.17 red led truck trailer light bar smoked id 3 lamps identification w black stainless steel bracket replacement pickup trucks,13.05,4.5,1072
2151,"['Sports & Outdoors', 'Sports & Fitness', 'Other Sports', 'Boxing', 'Bag Gloves']",title boxing premier leather super bag gloves 2.0,18.99,5.0,2
2152,"['Toys & Games', 'Hobbies', 'Remote & App Controlled Vehicles & Parts', 'Remote & App Controlled Vehicle Parts', 'Power Plant & Driveline Systems', 'Differentials']",hot racing te38ch sealed aluminum differential case traxxas 2wd electric,28.87,4.5,154
2153,"['Computers & Accessories', 'Computer Accessories & Peripherals', 'Lightning Cables']",amazonbasics double braided nylon lightning usb cable advanced collection mfi certified apple iphone charger dark gray 10 feet,17.49,4.6,35734
2154,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Frets']",cigar box guitar fretting kit includes 6ft . medium fret wire guide cd,5.49,4.4,9
2155,"['Industrial & Scientific', 'Fasteners', 'Collated Fasteners', ' Collated Nails']",edvision 610pcs nails assortment kit 8 size galvanized hardware pack 145pcs brad 465pcs flat hanging pictures wall mounting woodworking,7.99,4.5,11
2156,"['Computers & Accessories', 'Uninterruptible Power Supply (UPS)']",cyberpower cp825avrlcd intelligent lcd ups system 825va 450w 8 outlets avr compact,102.95,4.1,1484
2157,"['Musical Instruments', 'Drums & Percussion', 'Hand Percussion', 'Singing Bowls']",cvnc 8 note third eye frosted quartz crystal singing bowl free mallet o-ring yoga meditation,79.99,4.2,74
2158,"['Sports & Outdoors', 'Outdoor Recreation', 'Skates, Skateboards & Scooters', 'Inline & Roller Skating', ""Children's Roller Skates""]",crazy skates flash roller boys light ultra bright lights flashing lightning bolt black patines,85.0,4.4,97
2159,"['Video Games', 'PC Games', 'Controllers']",bluetooth wireless game controller mocute 054 gamepad joystick steam games portable vr remote control smart phones tablets tvs,6.59,4.5,567
2160,"['Toys & Games', 'Play Vehicles', 'Play Trains & Railway Sets', 'Buildings & Scenery']",woodland scenics diorama kit mountain,19.99,4.4,94
2161,"['Industrial & Scientific', 'Lab & Scientific Products', 'Glassware & Labware', ' Lab Funnels']",scientific glassware stems 12-173 18mm 14mm stem standard diffuser clear 5.5,9.54,4.0,66
2162,"['Clothing, Shoes & Jewelry', 'Boys', 'Shoes', ' Outdoor']",3 pairs kids clear lens glasses protect child eyes uvb uva blue light blocking,9.98,4.5,283
2163,"['Sports & Outdoors', 'Fan Shop', 'Toys & Game Room', ' Poker']",nfl playing cards,9.46,4.8,1157
2164,"['Clothing, Shoes & Jewelry', 'Women', 'Shops', 'Maternity', 'T-Shirts']",caregabi women maternity tops short long sleeve shirts ruching pregnancy,16.49,4.5,263
2165,"['Electronics', 'Accessories & Supplies', 'Installation Services']",ixaer car fan heater 12v defroster snow heating 3 outlet black,13.12,5.0,1
2166,"['Automotive', 'Replacement Parts', 'Engines & Engine Parts', 'Engine Parts', 'Cover Bolts']",jdmbestboy 20pcs blue billet aluminum fender bumper washer bolt engine bay screw dress kit jdm m6x15mm 6061 t6-grade,16.99,4.2,11
2167,"['Sports & Outdoors', 'Sports & Fitness', 'Accessories', 'Marker Boards']",baseball situations coaches board – ’ tell show . play smarter season best magnetic dry erase softball training tool aids teaching defensive lineup skills drills,11.99,4.0,20
2168,"['Clothing, Shoes & Jewelry', 'Costumes & Accessories', 'Kids & Baby', ' Boys']",imagine rubie marvel avengers play trunk iron man captain america hulk black panther costumes role amazon exclusive,35.425,4.5,634
